#{"t_start": 1580443176.142713, "env_id": "CartPole-v1"}
r,l,t
24.0,24,0.845681
31.0,31,0.868585
10.0,10,0.87684
20.0,20,0.892209
18.0,18,0.906736
12.0,12,0.939669
22.0,22,0.958008
16.0,16,0.971048
16.0,16,0.988546
15.0,15,1.00103
15.0,15,1.013312
11.0,11,1.02692
18.0,18,1.041765
10.0,10,1.049391
22.0,22,1.0651
12.0,12,1.075958
22.0,22,1.091949
59.0,59,1.14154
21.0,21,1.157377
12.0,12,1.166932
16.0,16,1.178829
26.0,26,1.204792
14.0,14,1.21581
10.0,10,1.223342
23.0,23,1.240308
66.0,66,1.295282
53.0,53,1.337409
18.0,18,1.369551
37.0,37,1.403112
28.0,28,1.43608
14.0,14,1.446775
16.0,16,1.471905
29.0,29,1.493672
11.0,11,1.505682
14.0,14,1.52255
13.0,13,1.535316
18.0,18,1.551372
11.0,11,1.560432
56.0,56,1.609253
48.0,48,1.654862
9.0,9,1.661753
17.0,17,1.67615
82.0,82,1.751257
10.0,10,1.759159
26.0,26,1.781151
32.0,32,1.805894
39.0,39,1.84647
17.0,17,1.858922
17.0,17,1.873979
42.0,42,1.911819
32.0,32,1.954413
16.0,16,1.97222
18.0,18,1.988454
23.0,23,2.017466
10.0,10,2.029984
17.0,17,2.049173
12.0,12,2.060373
21.0,21,2.076908
13.0,13,2.087036
21.0,21,2.104087
12.0,12,2.111913
10.0,10,2.12047
13.0,13,2.134803
24.0,24,2.152159
18.0,18,2.165141
14.0,14,2.17697
38.0,38,2.209623
36.0,36,2.239826
21.0,21,2.256347
10.0,10,2.263714
26.0,26,2.287435
25.0,25,2.315011
14.0,14,2.327085
23.0,23,2.346651
27.0,27,2.372163
20.0,20,2.393122
36.0,36,2.420934
10.0,10,2.427894
42.0,42,2.459181
14.0,14,2.475292
19.0,19,2.490182
19.0,19,2.5107
22.0,22,2.52919
9.0,9,2.537477
19.0,19,2.552476
31.0,31,2.580346
16.0,16,2.593248
29.0,29,2.616267
26.0,26,2.636552
34.0,34,2.686597
18.0,18,2.704269
73.0,73,2.77061
31.0,31,2.794055
52.0,52,2.841993
13.0,13,2.851165
41.0,41,2.886281
16.0,16,2.896969
9.0,9,2.908619
14.0,14,2.918891
33.0,33,2.954794
21.0,21,2.975439
27.0,27,2.996231
23.0,23,3.024733
18.0,18,3.039602
10.0,10,3.046775
15.0,15,3.058609
16.0,16,3.070787
16.0,16,3.082295
